"Cortex1"	"Cortex2"	"Cortex3"	"PD1"	"PD2"	"PD3"	"PD4"	"TRK1"	"TRK2"	"TRK3"	"MM.turquoise"	"MM.blue"	"MM.yellow"	"MM.black"	"MM.green"	"group"
"16"	171653.3	168656.1	175141.95	141703.56	143767.81	149729.59	141733.08	104555.71	107366.56	119103.32	0.907590938259301	-0.916241183976303	-0.920931030016286	0.241063955089288	-0.47368212111728	"turquoise"
"17"	27797166.89	28633714.94	25162152.75	18166091.6	20668252.14	17246196.83	18888069.26	12676995.01	14481988.81	17796735.28	0.966191743318452	-0.964698877977346	-0.782857636137398	-0.0531289709186973	-0.705159232215132	"turquoise"
"18"	691956.14	675459.43	669629.82	508182.84	508242.73	429991.15	414846.39	368278.09	387581.26	398352.52	0.968869520100297	-0.921380863832847	-0.724246134805277	-0.0810350242543479	-0.715368009462976	"turquoise"
"19"	247595.15	244238.6	280077.66	231515.47	234292.66	228570.38	231884.95	148489.4	157044.91	185582.11	0.789233347207914	-0.835977349850568	-0.961231150431303	0.417379873926044	-0.293473298430229	"turquoise"
"20"	420116.31	431109.87	433010.26	300376.81	320865.35	274326.31	296253.73	272415.71	257222.76	298952.46	0.984793513391191	-0.951513007289026	-0.654385086582289	-0.232645830055422	-0.820098515639222	"turquoise"
"21"	423106.95	429731.27	399918.41	323039.37	316000.29	305283.25	251658.3	181767.17	188348.34	254268.24	0.92744813988902	-0.935133984341569	-0.848468269702529	0.129208610081923	-0.554653782147265	"turquoise"
"22"	469902.67	451827.66	442857.33	246063.88	243558.22	235671.73	256833.84	177598.4	186363.89	210789.9	0.997890948876035	-0.956790414673435	-0.70027120421838	-0.18815377540445	-0.800467456699864	"turquoise"
"23"	96764.2	98365.59	95687.32	70797.06	74087.07	67255.94	68965.63	56510.01	56838.62	68825.83	0.986913676851559	-0.98059821573114	-0.760887309074645	-0.0962333303604874	-0.739625898952056	"turquoise"
"24"	207211.61	212028.28	213845.15	159189.87	187263.84	138094	159336.75	128174.27	136222.82	133371.87	0.935202960753367	-0.887720986401665	-0.757292027573332	-0.00533922821986713	-0.656721125465377	"turquoise"
"25"	570622.83	574605.77	555386.82	439621.18	426185.74	406938.73	406757.04	353929.72	333905.96	390833.91	0.985213528548522	-0.969151133814228	-0.765666250154093	-0.0695855218537863	-0.715568137820711	"turquoise"
"26"	126301.85	113706.39	112795.34	92570.9	93051.15	92459.21	82730.71	86262.27	67036.3	84084.81	0.923030036331212	-0.902147028181295	-0.700483278679245	-0.0547034128963266	-0.641741022629311	"turquoise"
"27"	143530.47	167044.91	146769.38	108615.49	114461.54	106673.8	112867.77	90959.25	86107.31	107343.56	0.959708395491212	-0.956736857852246	-0.744224218100548	-0.0886716543712006	-0.716410067759375	"turquoise"
"28"	4832493.11	4630802.54	4779777.58	3135408.18	2985606.88	3222260.23	3726251.73	3211411.02	2989917.12	3390230.06	0.954540798292179	-0.923017127212804	-0.570978165703411	-0.361799923601798	-0.874861899618397	"turquoise"
"29"	5709578.2	5413893.45	5439810.27	3209280.22	3220843.8	3542148.58	3850286	3207606.31	3266347.39	3379127.7	0.972194462043423	-0.918701628958856	-0.590286036634208	-0.330517473216423	-0.868481771528786	"turquoise"
"30"	1098293.36	983551.78	1055513.73	597815.34	576300.86	546483.87	619921.8	455865.88	474213.33	512022.57	0.992753792103029	-0.947309225205525	-0.679339708535493	-0.214528360239527	-0.813198937350341	"turquoise"
"31"	1143340.01	1094647.76	1106335.82	662774.92	651894.31	589517.66	650956.54	429409.43	420612.28	552764.35	0.996802242871988	-0.974447595514909	-0.753503675718708	-0.114911946842265	-0.755158219099478	"turquoise"
"32"	970765.64	939421.78	946449.7	570270.68	587402.47	492709.91	561731.67	368971.82	364139.3	481479.5	0.995511564456747	-0.974618724072452	-0.758266954876374	-0.106697788281842	-0.75085204171706	"turquoise"
"33"	2566604.55	2443194.98	2586214.97	1460549.89	1413420.78	1430243.1	1693251.05	1270008.82	1243975.42	1499126.93	0.987445336544844	-0.958525495272105	-0.654240611392268	-0.268596936531304	-0.844053796211819	"turquoise"
"34"	517740.55	525811.84	522250.98	406891.05	374836.13	253304.88	317289.65	228806.38	231850.3	307562.18	0.94304961687548	-0.937875021033696	-0.754249412568325	-0.0468179918422955	-0.684603112377462	"turquoise"
"35"	16299537.58	16641347.51	16526431.65	12030080.02	12801268.34	11465648.05	12736247.9	10633620.33	10827482.59	11530863.33	0.994286951644406	-0.959567129708912	-0.718841493038679	-0.1637204883697	-0.789357098641318	"turquoise"
"36"	656523.91	615017.68	650062.83	385496.04	390713.99	392540.05	454215.27	360095.4	368585.39	400827.44	0.982865804495373	-0.941988535746916	-0.628437731240262	-0.298129735376403	-0.859836444796085	"turquoise"
"37"	302310.37	369722.68	263031.67	170078.82	208924.57	145003.74	169572.24	126582.96	128028	144388.09	0.937592619535707	-0.893653453461754	-0.666545842399791	-0.143808895088712	-0.736144116834753	"turquoise"
"38"	38853983.3	38153371.83	37091269.91	24191171.41	24797023.48	22427131.76	25208925.25	19172297.45	19258120.63	22772197.42	0.998200156650037	-0.971630612672636	-0.71628237064366	-0.176721625245048	-0.795924291472081	"turquoise"
"39"	1706179.47	1815461.16	1710021.78	1100540.22	1121181.59	1032310.62	1089935.55	913199.33	820644.19	1038061.54	0.991827027340382	-0.964118681947859	-0.696812509996762	-0.181198838830388	-0.790175776448348	"turquoise"
"40"	3513998.7	3456744.04	3288015.37	2418395.9	2286968.77	2157294.6	2482868.51	2039356.28	1827758.02	2277007.66	0.986644762467162	-0.973178868388549	-0.708253787927006	-0.183913910110629	-0.788274757236491	"turquoise"
"41"	9099407.61	9534814.99	9284862.76	7321662.72	6729688.63	6691226.8	6688900.98	3963705.77	4010615.61	5806034.71	0.930828582006072	-0.960915264197957	-0.897779475662156	0.158602428736425	-0.544625694462585	"turquoise"
"42"	1716450.28	1798997.02	1668508.14	1101431.88	1130328.31	1041234.3	1131665.44	892956	837099.28	1023801.04	0.994213333590279	-0.968133445255435	-0.719837260501112	-0.15728166047918	-0.77879601552231	"turquoise"
"43"	1487426.13	1489991.6	1477147.46	1024853.26	1098150.02	987592.44	1002231.38	722528.43	743542.82	847206.54	0.98250224158732	-0.95991617346283	-0.814248744386998	0.0051306713021296	-0.672898845284294	"turquoise"
"44"	2500014.03	2327474.91	2304397.38	1587636.65	1655964.5	1505759.24	1621885.71	1118041.21	1203918.75	1445263.17	0.988862227556292	-0.976871557553702	-0.784833426578849	-0.0721945327980866	-0.726522846828363	"turquoise"
